time,city,ndvi
2022-12-01,Lahore,0.2526
2023-01-01,Lahore,0.2232
2023-02-01,Lahore,0.20670000000000002
2023-03-01,Lahore,0.2672
2023-04-01,Lahore,0.33480000000000004
2023-05-01,Lahore,0.3281
2023-06-01,Lahore,0.39680000000000004
2023-07-01,Lahore,0.5418000000000001
2023-08-01,Lahore,0.39530000000000004
2023-09-01,Lahore,0.39830000000000004
2023-10-01,Lahore,0.3173
2023-11-01,Lahore,0.3149
2023-12-01,Lahore,0.2273
2024-01-01,Lahore,0.21000000000000002
2024-02-01,Lahore,0.22610000000000002
2024-03-01,Lahore,0.31370000000000003
2024-04-01,Lahore,0.3376
2024-05-01,Lahore,0.3126
2024-06-01,Lahore,0.2723
2024-07-01,Lahore,0.33640000000000003
2024-08-01,Lahore,0.4224
2024-09-01,Lahore,0.4025
2024-10-01,Lahore,0.42060000000000003
2024-11-01,Lahore,0.23240000000000002
2024-12-01,Lahore,0.2411
2025-01-01,Lahore,0.23190000000000002
2025-02-01,Lahore,0.23290000000000002
2025-03-01,Lahore,0.2592
2025-04-01,Lahore,0.274
2025-05-01,Lahore,0.27890000000000004
2025-06-01,Lahore,0.31220000000000003
2025-07-01,Lahore,0.39440000000000003
2025-08-01,Lahore,0.4399
2025-09-01,Lahore,0.4162
2025-10-01,Lahore,0.3816
2025-11-01,Lahore,0.2806
2025-12-01,Lahore,0.24080000000000001
2000-02-01,Islamabad,0.3774
2000-03-01,Islamabad,0.4091
2000-04-01,Islamabad,0.46780000000000005
2000-05-01,Islamabad,0.3669
2000-06-01,Islamabad,0.3725
2000-07-01,Islamabad,0.4707
2000-08-01,Islamabad,0.6003000000000001
2000-09-01,Islamabad,0.5497000000000001
2000-10-01,Islamabad,0.48090000000000005
2000-11-01,Islamabad,0.4183
2000-12-01,Islamabad,0.35650000000000004
2001-01-01,Islamabad,0.2732
2001-02-01,Islamabad,0.27090000000000003
2001-03-01,Islamabad,0.3239
2001-04-01,Islamabad,0.38630000000000003
2001-05-01,Islamabad,0.33130000000000004
2001-06-01,Islamabad,0.3204
2001-07-01,Islamabad,0.5967
2001-08-01,Islamabad,0.5877
2001-09-01,Islamabad,0.47000000000000003
2001-10-01,Islamabad,0.43310000000000004
2001-11-01,Islamabad,0.42850000000000005
2001-12-01,Islamabad,0.3393
2002-01-01,Islamabad,0.3095
2002-02-01,Islamabad,0.3079
2002-03-01,Islamabad,0.3766
2002-04-01,Islamabad,0.4561
2002-05-01,Islamabad,0.36310000000000003
2002-06-01,Islamabad,0.46430000000000005
2002-07-01,Islamabad,0.4582
2002-08-01,Islamabad,0.49400000000000005
2002-09-01,Islamabad,0.5417000000000001
2002-10-01,Islamabad,0.48650000000000004
2002-11-01,Islamabad,0.4727
2002-12-01,Islamabad,0.4061
2003-01-01,Islamabad,0.31370000000000003
2003-02-01,Islamabad,0.3839
2003-03-01,Islamabad,0.41050000000000003
2003-04-01,Islamabad,0.48090000000000005
2003-05-01,Islamabad,0.4404
2003-06-01,Islamabad,0.4217
2003-07-01,Islamabad,0.5884
2003-08-01,Islamabad,0.6278
2003-09-01,Islamabad,0.5743
2003-10-01,Islamabad,0.47250000000000003
2003-11-01,Islamabad,0.4642
2003-12-01,Islamabad,0.43670000000000003
2004-01-01,Islamabad,0.38070000000000004
2004-02-01,Islamabad,0.4295
2004-03-01,Islamabad,0.4909
2004-04-01,Islamabad,0.4621
2004-05-01,Islamabad,0.4213
2004-06-01,Islamabad,0.45130000000000003
2004-07-01,Islamabad,0.5343
2004-08-01,Islamabad,0.5753
2004-09-01,Islamabad,0.543
2004-10-01,Islamabad,0.4862
2004-11-01,Islamabad,0.4726
2004-12-01,Islamabad,0.4037
2005-01-01,Islamabad,0.4283
2005-02-01,Islamabad,0.42650000000000005
2005-03-01,Islamabad,0.4807
2005-04-01,Islamabad,0.4975
2005-05-01,Islamabad,0.4534
2005-06-01,Islamabad,0.4213
2005-07-01,Islamabad,0.5504
2005-08-01,Islamabad,0.5755
2005-09-01,Islamabad,0.5711
2005-10-01,Islamabad,0.47000000000000003
2005-11-01,Islamabad,0.4187
2005-12-01,Islamabad,0.36060000000000003
2006-01-01,Islamabad,0.3048
2006-02-01,Islamabad,0.3613
2006-03-01,Islamabad,0.4202
2006-04-01,Islamabad,0.431
2006-05-01,Islamabad,0.31920000000000004
2006-06-01,Islamabad,0.3342
2006-07-01,Islamabad,0.49420000000000003
2006-08-01,Islamabad,0.5750000000000001
2006-09-01,Islamabad,0.47800000000000004
2006-10-01,Islamabad,0.4446
2006-11-01,Islamabad,0.4693
2006-12-01,Islamabad,0.4047
2007-01-01,Islamabad,0.3572
2007-02-01,Islamabad,0.35650000000000004
2007-03-01,Islamabad,0.4026
2007-04-01,Islamabad,0.4273
2007-05-01,Islamabad,0.3441
2007-06-01,Islamabad,0.3753
2007-07-01,Islamabad,0.4676
2007-08-01,Islamabad,0.4908
2007-09-01,Islamabad,0.4403
2007-10-01,Islamabad,0.39790000000000003
2007-11-01,Islamabad,0.3176
2007-12-01,Islamabad,0.2883
2008-01-01,Islamabad,0.26980000000000004
2008-02-01,Islamabad,0.23550000000000001
2008-03-01,Islamabad,0.3486
2008-04-01,Islamabad,0.3909
2008-05-01,Islamabad,0.3098
2008-06-01,Islamabad,0.39230000000000004
2008-07-01,Islamabad,0.4783
2008-08-01,Islamabad,0.4414
2008-09-01,Islamabad,0.40240000000000004
2008-10-01,Islamabad,0.3866
2008-11-01,Islamabad,0.331
